Outcomes,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Outcome,Single Layer Closure (n = 774),Double Layer Closure (n = 770),Effect Estimate (95% CI),p-value
1. Postmenstrual spotting (days/month) — median (IQR),0.0 (0.0–2.0),0.0 (0.0–1.0),Median diff: 0.00 (–0.08 to 0.08),1
2. Postmenstrual spotting (days/month) — mean (SD),1.33 (3.00),1.26 (2.77),Mean diff: –0.07 (–0.37 to 0.22),0.81
3. Spotting present at least one day per month,275/774 (35.5%),264/770 (34.3%),"Relative riskR: 0.96 (0.84 to 1.10); 
Risk Difference: –0.01 ( 0.06 to 0.04)","0.580
 0.602"
5. Dysmenorrhea (scale 0–10),4.0 (2.0–6.0),4.0 (2.0–6.0),Median diff: 0.0 (–0.4 to 0.4),1
6. Amenorrhea,166 (14.5%),166 (14.5%),"RR: 1.01 (0.83 to 1.22)
RD: 0.00(-0.003 to 0.03)","0.952
0.997"
Operative time (min),38.9 ± 11.7,42.8 ± 11.2,Mean diff: +3.9 (3.0 to 4.9),<0.001 ✔️
Estimated blood loss (mL),405 (392–420),415 (400–430),GMR: 1.02 (0.97 to 1.07),0.384
Need for additional hemostatic sutures,462 (40.5%),462 (40.4%),"RR: 1.00 (0.90 to 1.10); 
RD: -0.00(-0.04 to 0.04)","0.948
0.981"
Number of additional sutures needed,1 (1–2),1 (1–2),Median diff: 0.0 (–0.1 to 0.1),1
Hospital stay (days),3.0 (2.0–4.0),3.0 (2.0–3.0),Median diff: 0.0 (–0.1 to 0.1),1
Complication rate,118 (10.3%),104 (9.1%),"RR: 0.88 (0.69 to 1.13);
 RD: –0.01(-0.04 to 0.01)","0.320 
0.293"
Readmission rate,13/1013 (1.3%),13/1015 (1.3%),"RR: 1.00 (0.47 to 2.14)
RD: 0.00 (-0.01 to 0.01)","0.996
0.973"
Niche prevalence,684 (68.9%),712 (73.6%),"RR: 1.06 (1.01 to 1.13)
RD: +0.05(0.01 to 0.09)","0.033
0.027"
"Residual Myometrial Thickness (RMT, mm)",6.4 ± 3.3,6.7 ± 3.4,Mean diff: +0.3 (–0.1 to 0.6),0.108
RMT / AMT ratio (median),0.56 (0.41–0.75),0.58 (0.41–0.74),Median diff: 0.01 (–0.02 to 0.04),0.55
Large niche prevalence (RMT ≤ 3 mm),131 (13.2%),113 (11.8%),"RR: 0.89 (0.70 to 1.12)
RD: –0.01(-0.04 to0.02)","0.310
 0.657"
Large niche (RMT/AMT ratio < 50%),351 (35.6%),337 (35.1%),"RR: 0.98 (0.87 to 1.11)
RD: 0.00(-0.05 to 0.04)","0.792 
0.870"
Niche depth (mm),3.93 (3.81–4.06),3.95 (3.83–4.07),GMR: 1.02 (0.97 to 1.08),0.498
Niche length (mm),4.72 (4.53–4.91),4.95 (4.78–5.13),GMR: 1.05 (0.99 to 1.11),0.056
Niche width (mm),5.04 (4.83–5.26),5.08 (4.87–5.29),GMR: 1.01 (0.95 to 1.07),0.737
Niche volume (mm³),22.9 (20.9–25.2),25.4 (23.2–27.7),GMR: 1.11 (0.98 to 1.27),0.106
Serious Adverse Events,23 (2.0%),14 (1.2%),not provided,not provided
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
Study Characteristics,nan,nan,nan,nan
Characteristic,Single Layer Closure (n=1144),Double Layer Closure (n=1148),nan,nan
Sample size (randomized),1144,1148,nan,nan
Follow-up (for primary outcome),774 (67.7%),770 (67.1%),nan,nan
Follow up time,"At baseline, 3 months , 9 months","At baseline, 3 months , 9 months",nan,nan
Arms,2,2,nan,nan
Numbers (analyzed for primary),774,770,nan,nan
Age (mean ± SD),32.0(4.7),32.1(4.6),nan,nan
Gestational age at delivery (wks),39.0 (38.0–39.7),39.0 (38.0–39.7),nan,nan
Body Mass Index (kg/m²),26.4(4.6),26.6(4.8),nan,nan
Nulliparity,764(76.3%),764(76.2%),nan,nan
Preterm delivery (<37 wks),133(13.2%),142(14.0%),nan,nan
Multiples (twins),80(7.0%),91(7.9%),nan,nan
Elective Cesarean Section,594/1070(55.5%),571/1087(52.5%),nan,nan
Prior cesarean deliveries,Excluded,Excluded,nan,nan
Operative time (min),38.9 ± 11.7,42.8 ± 11.2,nan,nan
